indice_tiempo,total_recaudacion
2012-08-01,60455.60910545
2012-09-01,57374.55586345001
2012-10-01,60130.63297132999
2012-11-01,60664.62589573999
2012-12-01,62220.802087265
2013-01-01,65682.782974275
2013-02-01,60887.81464082
2013-03-01,60278.37244582499
2013-04-01,67630.477140015
2013-05-01,77754.70795151999
2013-06-01,74695.83970262
2013-07-01,80298.12803159999
2013-08-01,75864.968209085
2013-09-01,71805.00783285999
2013-10-01,74292.14190404
2013-11-01,73582.95523891
2013-12-01,76059.774402335
2014-01-01,90307.16747115
2014-02-01,81172.93214081001
2014-03-01,78709.94871551
2014-04-01,92737.30854781
2014-05-01,105070.56989886
2014-06-01,101186.18396449
2014-07-01,107089.93670848
2014-08-01,99647.94192956
2014-09-01,98719.03315585
2014-10-01,104606.4049911
2014-11-01,101836.51508813
2014-12-01,108598.76736990998
2015-01-01,117458.44764199
2015-02-01,106557.86002451
2015-03-01,105400.26528059
2015-04-01,112658.62304883
2015-05-01,138138.87945319
2015-06-01,140837.77337687
2015-07-01,145998.56433685
2015-08-01,132515.218983
2015-09-01,129442.42606613002
2015-10-01,134417.06261348998
2015-11-01,129489.145231255
2015-12-01,145033.95284125
2016-01-01,162654.15131857
2016-02-01,134803.27726909998
2016-03-01,137762.36926039998
2016-04-01,150809.70255676
2016-05-01,170344.61015764
2016-06-01,174596.73135568
2016-07-01,180091.40352652004
2016-08-01,165763.09835166
2016-09-01,168317.25607225
2016-10-01,167196.31217207998
2016-11-01,182272.66508640003
2016-12-01,275542.1716931901
2017-01-01,211413.38814554
2017-02-01,172221.57082579
2017-03-01,212294.84218965
2017-04-01,187948.9920089
2017-05-01,206055.39205054
2017-06-01,226592.65403147
2017-07-01,237325.84681755
2017-08-01,221275.37447996
2017-09-01,224065.55502378
2017-10-01,219713.32577437
2017-11-01,224463.75656049
2017-12-01,235238.45993003
2018-01-01,261961.04110748
2018-02-01,235666.26739981
2018-03-01,238835.95069741
2018-04-01,236227.30272311
2018-05-01,295420.93418679
2018-06-01,298853.29289336
2018-07-01,293893.9885331501
2018-08-01,293418.40609410004
2018-09-01,295817.64357674
2018-10-01,312508.82685242005
2018-11-01,300119.36737178004
2018-12-01,319921.45509538
2019-01-01,363926.99770248
2019-02-01,330890.72098553
2019-03-01,327869.71187774
2019-04-01,357362.2762273
2019-05-01,444249.74776703
2019-06-01,454442.13743066
2019-07-01,450909.80214728
2019-08-01,458494.59830432
2019-09-01,422011.65800440003
2019-10-01,446171.7679775301
2019-11-01,474870.1133039901
2019-12-01,492366.5
2020-01-01,527284.55226448
2020-02-01,471693.29015600006
2020-03-01,443636.7
