indice_tiempo,manda_global_consumo_priv,demanda_global_consumo_publico,demanda_global_exportacion,demanda_global_ibif_total,oferta_global_importacion
2009-09-30,419318.0432099842,74331.01172110844,131625.13245280625,108714.07912083373,123133.6440304645
2009-12-31,396373.3691899605,82422.55744733862,137574.77413312762,110460.3261279798,129128.9859125566
2010-03-31,439461.24571681354,70569.0067685535,124821.26202219725,108785.85710582584,131091.92974987472
2010-06-30,487297.5986480419,77185.40145097743,175584.32821404992,130038.89517350178,151260.05259704147
2010-09-30,456779.066656185,76311.35500675494,168049.61790716992,139803.95750292114,171903.47870439346
2010-12-31,451162.75340541295,85922.6262566636,151952.376643681,144754.32406470992,175630.37609457492
2011-03-31,484513.9866221313,74065.61550360995,138279.54794538196,139564.46171539812,171680.48522975415
2011-06-30,521971.6246991987,80830.22216387503,170971.27052045267,153571.0195551041,185834.80063049102
2011-09-30,509458.2538576882,81814.12347117398,172841.45085261777,164571.6467049708,212358.1719142757
2011-12-30,490644.7484593613,87429.11790493385,164054.87715450366,156629.21241772975,198767.51540656987
2012-03-30,494561.058682757,77065.36011865595,145984.1028063894,134285.04105704132,175963.63222419753
2012-06-29,516528.23176810256,82453.8409794096,155692.76464038188,134408.94797285146,168790.03309891454
2012-09-28,517627.4794360068,84029.38424119438,164111.32295096805,150230.81659457323,194333.5663819988
2012-12-31,500150.6318398283,90344.7981817684,153813.21961273107,151946.00276177566,193210.37317505112
2013-03-29,506950.4464066281,80963.0147224332,131767.05473088427,133273.1129258469,176602.613153124
2013-06-28,543923.3527537831,87051.59686787997,168720.23462672776,150469.4153047585,190652.10709454693
2013-09-30,538421.0782533975,87994.27213111262,159733.6322501896,152737.11410480322,202951.05150852745
2013-12-31,513403.25174006564,95656.26703212564,137569.02973944266,147746.62960253572,190526.07736575845
2014-03-31,517840.5337442633,85482.49373199629,119113.81889969678,131370.53630992188,174142.8791751422
2014-06-30,527379.2269427378,88842.11971854887,152688.83294255967,141073.1894297702,169554.60524510767
2014-09-30,490626.9894868554,90661.59063505179,147198.69636944198,140281.45358859547,173099.24330165773
2014-12-31,475210.9954940017,97035.59233375055,137067.84127832402,132033.40948911634,156603.14371840068
2015-03-31,507483.72306937794,88812.95550774358,116284.29138088347,128790.2533129668,160419.64644001034
2015-06-30,569042.185871214,97227.65945609038,149591.7080612978,143522.13876214108,174021.01747036108
2015-09-30,518592.727887606,98086.76652572924,147404.70503841515,149008.18693087087,192990.26576942843
2015-12-31,489467.3253588218,103040.47142187048,127344.36995735196,142300.30190956546,177694.9568914407
2016-03-31,520749.18897769594,90566.2923396524,133430.07456094027,124425.51841156663,179480.42369351548
2016-06-30,558368.43539579,94085.73301934524,148260.21087746302,134589.4379545192,187899.66185803572
2016-09-30,506410.5707127761,96873.95781475113,146914.03159839427,137185.49507782276,193030.10337367308
2016-12-30,482792.3600649343,103611.65551354598,140767.70716094368,134851.77049515006,185783.37864128867
2017-03-31,536011.2679688631,92114.46751726622,134667.57440605693,131486.24599536855,194211.66675130013
2017-06-30,579761.6634740008,98369.90612425636,150287.5619987416,147917.72513381098,211208.7506886616
2017-09-29,530448.7435004468,99417.58472055016,153867.0725756585,160592.39690911054,229079.8067032368
2017-12-29,508108.8239414609,105392.23970881503,145441.11931488177,162113.68977869212,227978.6240259279
2018-03-30,552912.8785920907,92056.1938646973,144939.93221966937,152300.6042109982,225441.6687326833
2018-06-29,588455.756529514,97624.1805461115,137726.1206501707,151659.16792457036,220135.48182057161
2018-09-28,513316.2929784739,96923.53301497964,144474.37418546676,142066.4152474825,206728.928915982
2018-12-31,451265.20905076177,101213.65943477832,160897.22038331695,121488.74616913994,171694.68040516032
2019-03-29,493962.1314779446,91424.99695373706,145209.70341552142,114244.15030820043,168795.23190035467
2019-06-28,537661.7066422879,96414.33216641095,158149.68841438813,123660.415172123,170632.84002791045
2019-09-30,482883.09193278436,96629.7165719027,164485.35677731124,127861.96072937975,175895.80388099546
2019-12-31,437868.90633595525,98682.13171874789,173717.1831909754,111570.29711547242,152204.88916054714
2020-03-31,462902.6013025636,90804.26016319901,139331.70856635564,93469.69493922169,142864.90964476994
2020-06-30,409643.2495586647,89081.08742406535,137382.88446728533,76442.19268419774,119059.82803136313
2020-09-30,410827.0907141636,91131.48505480023,136322.71474392232,116511.92731614766,138140.90387707722
2020-12-31,400206.24104381294,99473.01124886869,117362.1642315152,129214.1141405009,148208.72118215807
2021-03-31,454814.36052886397,90688.51550380386,125565.99519699287,129669.56322664054,149910.75040419475
2021-06-30,493333.6080867154,97040.87486394633,146024.362957142,135606.46610979983,162906.2226470969
2021-09-30,460424.6285569075,101571.75709606349,161964.9140695679,141198.9296102486,174345.56723366122
2021-12-31,445778.8778416111,110078.35513221023,144397.62257974865,146052.5859984436,178605.78850272644
