indice_tiempo,ipc_ng_nacional_tasa_variacion_mensual,ipc_ng_cuyo_tasa_variacion_mensual,ipc_ng_nea_tasa_variacion_mensual,ipc_ng_noa_tasa_variacion_mensual,ipc_ng_pampeana_tasa_variacion_mensual,ipc_ng_patagonia_tasa_variacion_mensual
2020-08-01,0.0270011035906612,0.0269155727930701,0.0234246050000845,0.0255443017095928,0.0262974406753018,0.0290856307128462
2020-09-01,0.0283552164697895,0.0356607356191818,0.033996790666793,0.02318677330856,0.0290393610047066,0.0227233286444066
2020-10-01,0.0376096984398219,0.0366078399357139,0.0374601758080244,0.0406858664324152,0.0401471844405019,0.0346221681833489
2020-11-01,0.0315970494109665,0.0314946851660411,0.0367810862666762,0.0310506645378771,0.033760059325991,0.0292030781562406
2020-12-01,0.0400556733835353,0.0427829169568936,0.0554896880084467,0.0431028373482824,0.0419186161282549,0.0302369179026875
2021-01-01,0.0404902941982872,0.0445948752190634,0.0431492075655597,0.0551238090988877,0.0462299612580709,0.0411235329285206
2021-02-01,0.0357463168148211,0.0408208034739441,0.0379668197093765,0.0329236171026072,0.0344847504902647,0.0385553134392309
2021-03-01,0.0481080749628179,0.0433880322746353,0.0332753814846693,0.0418505194709133,0.0482419900418742,0.0405015352272277
2021-04-01,0.0408029353995966,0.0416923942137967,0.0413386395808255,0.0399376661185659,0.0395409889124389,0.0475195167013695
2021-05-01,0.0332297807363954,0.0363585264998342,0.0314570441579775,0.0324532684698766,0.0323014676804784,0.0351444068103332
2021-06-01,0.0317454797589205,0.0354692287208808,0.0285348833530454,0.0328633479838564,0.0324311768750695,0.0344605328010199
2021-07-01,0.0299703332203624,0.0316865569787929,0.029767024352205,0.027529381732412,0.0286566625213773,0.0334943210874296
2021-08-01,0.0246848666740147,0.0177763702594866,0.0273749857675522,0.0238286220112828,0.0226352304790784,0.0340577857946442
2021-09-01,0.0354678795331138,0.0286967506267779,0.0283051177698012,0.0326081423524264,0.0341001133970517,0.0374440971853222
2021-10-01,0.0351627483837178,0.0310605850527387,0.0352141962076735,0.0319931830505848,0.0340043340904936,0.0286608264811418
2021-11-01,0.0252946460135095,0.0265009627351939,0.0297154116829125,0.0265517555951266,0.0280875956537642,0.0219062328871884
2021-12-01,0.0383997030584126,0.0391132866858034,0.0441300305811451,0.0404137041647509,0.0352181947076659,0.0309157760008729
2022-01-01,0.0387568191670637,0.0405030282219336,0.0342394142734554,0.0403678872126407,0.038482056642328,0.0359254564274107
2022-02-01,0.0469436560100899,0.0540471081972064,0.0496337907758657,0.0485236349954956,0.046657176953345,0.0484214099427313
2022-03-01,0.0672879783390254,0.067935806028984,0.0724851257273784,0.0676688032393082,0.0662778166859892,0.0743687720687351
2022-04-01,0.0604141724228415,0.0584060854738333,0.0602396937985822,0.0636904891662517,0.0586251705095686,0.0589258362537834
2022-05-01,0.0505607476635514,0.0522535795530578,0.052650006681812,0.0554660694896853,0.0527020718232043,0.0486280642434489
2022-06-01,0.0529522125162815,0.0529638808005248,0.0492373980891154,0.0523920637537331,0.0515521553781028,0.0508195307316972
2022-07-01,0.0740619685715935,0.0733148614512222,0.0743817592199806,0.0673883904297474,0.0751826290219279,0.0804172388134123
2022-08-01,0.0697033557535506,0.0645394286969407,0.0762251657568258,0.0761033212967956,0.0692561929762261,0.0644001696014993
2022-09-01,0.0616551988757716,0.0606295808502226,0.0684672640520964,0.0614174834906557,0.0626397224511663,0.0613041997179641
