indice_tiempo,Préstamos/PIB,Depósitos/PIB
2015-01-01,11.844856234395776,12.540836969977006
2015-02-01,12.057224551664785,12.843276027109113
2015-03-01,12.358789180976439,13.2125114182119
2015-04-01,10.662961650746038,11.734058883593496
2015-05-01,10.901443872474871,12.174962020896688
2015-06-01,11.257209279940069,12.615061201519683
2015-07-01,10.97218929582784,12.497308248937765
2015-08-01,11.328424817261158,12.646465479531743
2015-09-01,11.681456824948482,12.913412117488743
2015-10-01,11.569034074982087,12.526461978295428
2015-11-01,12.166076470581476,12.92175640495549
2015-12-01,12.460154547664537,13.550214142495065
2016-01-01,11.629888480923716,12.702986776389732
2016-02-01,11.59819757913398,12.84428190076368
2016-03-01,11.661086450649996,12.943745783356139
2016-04-01,9.823300618999822,10.840607407713227
2016-05-01,9.922218334005096,10.867082253594093
2016-06-01,10.060904193737748,11.207945049320315
2016-07-01,9.940357869320875,11.60570280839174
2016-08-01,10.035554355546166,11.631010300972337
2016-09-01,10.234760821353458,11.822191381167798
2016-10-01,10.009211215293785,11.47478351715297
2016-11-01,10.319804518861247,11.713632734451956
2016-12-01,10.825409074862145,12.193898626303918
2017-01-01,10.682119996985978,12.053152973726489
2017-02-01,10.83438850880493,12.218677422950964
2017-03-01,10.989126472191607,12.342794463927772
2017-04-01,9.799841840068442,10.88770507108169
2017-05-01,10.018502358348302,10.970939458455305
2017-06-01,10.371975901615938,11.247640525123522
2017-07-01,10.138156322006429,11.067002249657284
2017-08-01,10.554498474873387,11.036179536179656
2017-09-01,11.04598034230996,11.158890500282492
2017-10-01,10.948875245591667,10.76345516978376
2017-11-01,11.462388116036925,11.033189104877797
2017-12-01,12.018208043127775,11.751456444092398
2018-01-01,11.509988810533265,11.255299751592853
2018-02-01,11.75172102917523,11.365733779866583
2018-03-01,12.168566798391108,11.524916760756449
2018-04-01,10.84187004819733,10.108013118597748
2018-05-01,11.095840239626877,10.301652516784381
2018-06-01,11.329407135315142,10.49633873669599
2018-07-01,10.846106777552682,10.267976453728464
2018-08-01,11.047461490559405,10.52660138928825
2018-09-01,11.151852615476432,10.800820418776716
2018-10-01,10.076857270336898,10.201244968624156
2018-11-01,10.171676807905834,10.741312445918918
2018-12-01,10.224251711245165,11.610584332357936
2019-01-01,9.655247891380222,11.351541520712022
2019-02-01,9.627560019273355,11.753982006279658
2019-03-01,9.761714416510852,12.05341126519862
2019-04-01,8.095799027884132,10.043543920675996
2019-05-01,8.139373906132771,10.260676725410269
2019-06-01,8.234910448709874,10.641174557693384
2019-07-01,7.854446663964175,10.374459862174174
2019-08-01,8.134403221933054,10.475787806418252
2019-09-01,8.418928627648,10.554859778027435
2019-10-01,8.049284409083642,9.444583399766525
2019-11-01,8.208721403715874,9.536843412149624
2019-12-01,8.576647544332813,10.37851304224599
2020-01-01,8.674719872361925,11.283852981041315
2020-02-01,8.789903139229734,12.069059762236597
2020-03-01,9.283456742986294,12.87038008273097
2020-04-01,10.156276478716986,14.74684061685552
2020-05-01,10.58252433687704,15.770591404346227
2020-06-01,10.972558072702078,16.87287422226611
2020-07-01,9.875987405845404,15.547412227394068
2020-08-01,10.266396070761214,15.923041706305968
2020-09-01,10.470971724782284,16.231854933180216
2020-10-01,9.315300928204136,13.996674187141057
2020-11-01,9.616115431168128,14.1396658082737
2020-12-01,10.040595584111298,14.908413020941763
2021-01-01,9.020211699212446,13.625669009282888
2021-02-01,9.183743552021692,14.022170031417694
2021-03-01,9.29575257676656,14.534460948619731
2021-04-01,7.5057376348841895,11.902859969183304
2021-05-01,7.6993081571904485,12.322195933117678
2021-06-01,7.986025233243926,12.814432784765788
2021-07-01,7.931467761618973,13.120152768419649
2021-08-01,8.213423655603505,13.545195750990901
2021-09-01,8.624355878847942,14.042927010584483
2021-10-01,7.934756133688639,12.798275446873083
2021-11-01,8.523864949779497,13.22139158181728
2021-12-01,8.948824730235724,14.085020748055607
2022-01-01,8.948824730235724,14.630320623552818
2022-02-01,8.948824730235724,14.96199610551339
