indice_tiempo,tipo_cambio_real_zona_euro
2007-06-22,176.16917515875272
2007-06-23,176.0212996699944
2007-06-24,175.8735483071518
2007-06-25,175.82687284856587
2007-06-26,175.99864792696894
2007-06-27,175.72107831248414
2007-06-28,175.63430193086586
2007-06-29,176.7672785204353
2007-06-30,176.61890098682804
2007-07-01,176.46193537411992
2007-07-02,177.36259839675353
2007-07-03,176.99687639195682
2007-07-04,176.89678598405186
2007-07-05,177.22499476737568
2007-07-06,177.4943219458989
2007-07-07,177.33657832479844
2007-07-08,177.17897489437973
2007-07-09,177.02151153005173
2007-07-10,178.00876178830922
2007-07-11,178.28001083327172
2007-07-12,178.34879144838715
2007-07-13,178.24199775076832
2007-07-14,178.0835896515731
2007-07-15,177.9253223335978
2007-07-16,177.7084706279092
2007-07-17,177.60206242283462
2007-07-18,177.88653539979668
2007-07-19,177.7928189066864
2007-07-20,178.69266674519238
2007-07-21,178.53385812524633
2007-07-22,178.37519064247303
2007-07-23,178.31391820006738
2007-07-24,180.35412631223315
2007-07-25,179.83860546052182
2007-07-26,177.84894144326918
2007-07-27,175.26136808257596
2007-07-28,175.10560894314392
2007-07-29,174.94998823073533
2007-07-30,175.66982439506242
2007-07-31,175.37076348438382
