indice_tiempo,emae_desestacionalizada
2018-03-01,151.2490990995779
2018-04-01,146.80262772257743
2018-05-01,144.40510267021185
2018-06-01,143.11355937256997
2018-07-01,143.20948333272955
2018-08-01,146.62142368296298
2018-09-01,143.23782748947133
2018-10-01,143.70064390720412
2018-11-01,141.68396100822244
2018-12-01,141.9056566392813
2019-01-01,142.9344985044628
2019-02-01,143.4807297979542
2019-03-01,141.20462489279612
2019-04-01,142.50362614627667
2019-05-01,144.45343487832156
2019-06-01,143.6962257726828
2019-07-01,145.4130754195362
2019-08-01,144.93106137022613
2019-09-01,141.1649434678811
2019-10-01,143.63032722554053
2019-11-01,140.7641729784133
2019-12-01,140.1701764577778
2020-01-01,140.80426345718908
2020-02-01,140.47694578224795
2020-03-01,125.42978565211637
2020-04-01,105.11695230194732
2020-05-01,116.33414823619007
2020-06-01,124.36907969892977
2020-07-01,126.62366167030196
2020-08-01,129.2828542177048
2020-09-01,131.2789972239866
2020-10-01,134.39643445493272
2020-11-01,135.4285141899866
2020-12-01,135.16602368979397
2021-01-01,139.78525972338076
2021-02-01,138.03044630307585
2021-03-01,139.6381062498327
2021-04-01,137.82903880692834
2021-05-01,136.47324837459763
2021-06-01,140.40316908710284
2021-07-01,142.1834916847631
2021-08-01,144.2864509944021
2021-09-01,145.58250626801313
2021-10-01,144.59214506676773
2021-11-01,146.42352656552703
2021-12-01,148.0253712737735
2022-01-01,146.92534922715495
2022-02-01,148.67367673325154
2022-03-01,147.57180012062108
