indice_tiempo,tipo_cambio_real_estados_unidos
2010-07-08,102.89145503653816
2010-07-09,102.84939461861237
2010-07-10,102.80735139432771
2010-07-11,102.76532535665577
2010-07-12,102.6972247239967
2010-07-13,102.60308148705606
2010-07-14,102.56113895172804
2010-07-15,102.54527335177687
2010-07-16,102.47730531042109
2010-07-17,102.43541419042737
2010-07-18,102.39354019486844
2010-07-19,102.37770052145099
2010-07-20,102.30984354905712
2010-07-21,102.26802088481287
2010-07-22,102.17424469408282
2010-07-23,102.1065027714507
2010-07-24,102.06476322973671
2010-07-25,102.02304075049473
2010-07-26,102.00727817470886
2010-07-27,101.99151143738686
2010-07-28,102.00166218679816
2010-07-29,102.01178759401778
2010-07-30,102.04778813190904
2010-07-31,102.00607259182163
2010-08-01,101.97617667305126
2010-08-02,101.89454013062941
2010-08-03,101.76120846208595
2010-08-04,101.7055247797505
2010-08-05,101.67571694547104
2010-08-06,101.62007347456093
2010-08-07,101.5902906843324
2010-08-08,101.56051662283792
2010-08-09,101.53075128751932
2010-08-10,101.52680876398679
2010-08-11,101.52285983034065
2010-08-12,101.46730657225716
2010-08-13,101.43756855492096
2010-08-14,101.40783925319677
2010-08-15,101.37811866453023
2010-08-16,101.34840678636769
2010-08-17,101.34446479175152
2010-08-18,101.3662700278895
2010-08-19,101.36230769997087
2010-08-20,101.35833898767538
2010-08-21,101.32863290653648
2010-08-22,101.29893553164965
2010-08-23,101.29496276875706
2010-08-24,101.34240037634905
2010-08-25,101.38980147712401
2010-08-26,101.33439287048479
2010-08-27,101.30469380746895
2010-08-28,101.27500344864842
2010-08-29,101.24532179147214
2010-08-30,101.36962801518506
2010-08-31,101.33991862546024
2010-09-01,101.29218387052543
2010-09-02,101.16757706498838
2010-09-03,101.0686846122784
2010-09-04,101.0210776183417
2010-09-05,100.9734930490154
2010-09-06,100.90034764129204
2010-09-07,100.92953354556828
2010-09-08,100.85643293994785
2010-09-09,100.7833788066322
2010-09-10,100.73590620201513
2010-09-11,100.68845595870614
2010-09-12,100.64102806617241
2010-09-13,100.67011956522714
2010-09-14,100.6481873159532
2010-09-15,100.62625339226065
2010-09-16,100.55339179816299
2010-09-17,100.55692954016492
2010-09-18,100.5095636013157
2010-09-19,100.46221997353123
2010-09-20,100.3894835871662
2010-09-21,100.3675996091242
2010-09-22,100.34571397345465
2010-09-23,100.3238266865747
2010-09-24,100.45414099883337
2010-09-25,100.40682347709264
2010-09-26,100.35952824361048
2010-09-27,100.59090044146568
2010-09-28,100.59415739230916
2010-09-29,100.31900624469108
2010-09-30,100.17056998236954
2010-10-01,100.10326840309135
2010-10-02,100.01075680009457
2010-10-03,99.91833069277465
2010-10-04,99.80078778298264
2010-10-05,99.65819786455404
2010-10-06,99.61640889631069
2010-10-07,99.47408240837187
2010-10-08,99.3319339059382
2010-10-09,99.24013514071302
2010-10-10,99.14842121238738
2010-10-11,99.05679204255829
2010-10-12,98.9402310595804
2010-10-13,98.7738141690172
2010-10-14,98.58265009220621
2010-10-15,98.66617418314068
2010-10-16,98.57499068752806
2010-10-17,98.48389146020641
2010-10-18,98.36799832559313
2010-10-19,98.35165571163948
2010-10-20,98.28559501812498
2010-10-21,98.1947632391864
