indice_tiempo,tipo_cambio_real_multilateral_actual
2007-09-05,154.43071408829624
2007-09-06,154.9319118361149
2007-09-07,154.67605447925038
2007-09-08,154.5799796885734
2007-09-09,154.48396457336102
2007-09-10,154.5859438162041
2007-09-11,154.93116762714016
2007-09-12,155.0657773244323
2007-09-13,154.89792489078084
2007-09-14,155.01779451972877
2007-09-15,154.921507462176
2007-09-16,154.82528021193426
2007-09-17,153.9700081433923
2007-09-18,154.55767628920725
2007-09-19,155.4447822950541
2007-09-20,155.90153937001003
2007-09-21,156.36510784093667
2007-09-22,156.26798391923094
2007-09-23,156.17092032464237
2007-09-24,156.0695806401751
2007-09-25,156.45744825486224
2007-09-26,156.51951206325933
2007-09-27,156.91435460075468
2007-09-28,157.52489876077215
2007-09-29,157.42705445173678
2007-09-30,157.32927091727655
2007-10-01,157.56357487503547
2007-10-02,157.13380989611542
2007-10-03,156.69683169208074
2007-10-04,157.37483317505283
2007-10-05,158.06919474073905
2007-10-06,158.01010004794102
2007-10-07,157.95102744788997
2007-10-08,158.04524337186902
2007-10-09,158.23695124928963
2007-10-10,157.95990933298555
2007-10-11,158.57406032464218
2007-10-12,158.11848582079426
2007-10-13,158.05937270036245
2007-10-14,158.00028167956685
2007-10-15,157.94121275014533
2007-10-16,157.55375457474506
2007-10-17,157.33787538976355
2007-10-18,158.73806180983505
2007-10-19,158.2951206829734
2007-10-20,158.23594152701247
2007-10-21,158.1767844953753
2007-10-22,157.5007275027875
2007-10-23,158.59904680589173
2007-10-24,158.49725207293775
2007-10-25,159.1959570337338
2007-10-26,159.7403907827714
2007-10-27,159.6806713077894
2007-10-28,159.62097415913132
2007-10-29,159.59474599136226
2007-10-30,159.18242862061734
2007-10-31,159.4379221498516
2007-11-01,158.5795101440654
2007-11-02,158.71027463524234
2007-11-03,158.754482692481
2007-11-04,158.7987030636818
2007-11-05,158.78297836887887
2007-11-06,158.82720667742657
2007-11-07,159.33210386802313
2007-11-08,159.50685747889787
2007-11-09,159.3767889782523
2007-11-10,159.42118269016447
2007-11-11,159.4655887677522
2007-11-12,159.65722836122762
2007-11-13,158.91099469760871
2007-11-14,159.8455337279784
2007-11-15,159.05099601817003
