indice_tiempo,tipo_cambio_real_brasil
2012-06-01,125.5261397816589
2012-07-01,126.25812231459405
2012-08-01,126.20878272657629
2012-09-01,126.2104792103347
2012-10-01,126.4078210736137
2012-11-01,124.5924805622321
2012-12-01,124.64621861295393
2013-01-01,128.07390902832532
2013-02-01,131.96178387576668
2013-03-01,131.43105024051025
2013-04-01,130.43592365932471
2013-05-01,128.4046346747061
2013-06-01,121.06958488400744
2013-07-01,116.2261728485925
2013-08-01,112.56365818475152
2013-09-01,117.13208316382445
2013-10-01,121.5261889841674
2013-11-01,116.58276278783107
2013-12-01,118.00405955422684
2014-01-01,125.9823344588882
2014-02-01,134.03912349474865
2014-03-01,133.32235610632412
2014-04-01,136.80196656045192
2014-05-01,135.40923927953665
2014-06-01,133.77337066118827
2014-07-01,132.4400282794935
2014-08-01,129.65152024276094
2014-09-01,124.7940015675988
2014-10-01,117.93642813556473
2014-11-01,112.58096975157127
2014-12-01,107.86533866486276
2015-01-01,108.280318189929
2015-02-01,101.8730639815329
2015-03-01,91.71163655027814
2015-04-01,94.6150311738628
2015-05-01,94.10776041458358
2015-06-01,92.42957357108034
2015-07-01,89.46763135246796
2015-08-01,81.7113568385887
2015-09-01,73.34326121899373
2015-10-01,74.06266243397248
2015-11-01,76.18886724439669
2015-12-01,84.96981670440375
2016-01-01,94.59853588136022
2016-02-01,102.20252675449318
2016-03-01,107.87341917012928
2016-04-01,104.20461148255718
2016-05-01,98.98539443231476
2016-06-01,99.27820730812088
2016-07-01,107.17285145377556
2016-08-01,108.29881036774073
2016-09-01,108.27883942610865
2016-10-01,109.26935043918104
2016-11-01,103.67967591677888
2016-12-01,105.36801637386442
2017-01-01,109.86613702027005
2017-02-01,109.2330990087048
2017-03-01,105.92350452663142
2017-04-01,101.84719603847635
2017-05-01,100.48858851061676
2017-06-01,98.916432061271
2017-07-01,107.00191696236963
2017-08-01,108.95353202285456
2017-09-01,106.71957527875536
2017-10-01,104.64349889969095
2017-11-01,101.38405022905368
2017-12-01,99.82217898183485
2018-01-01,107.83497059039257
2018-02-01,109.14072159028416
2018-03-01,107.82325988559505
2018-04-01,101.52410915072984
2018-05-01,108.81814360729516
2018-06-01,115.55126486056696
2018-07-01,115.50178227628064
2018-08-01,117.67978277604871
2018-09-01,138.32737655001637
2018-10-01,137.40613140969043
2018-11-01,129.1701057426982
2018-12-01,126.98714300137951
2019-01-01,126.89046691629957
2019-02-01,127.35816302568372
2019-03-01,128.0575902247547
2019-04-01,127.86342806665199
