indice_tiempo,tasas_interes_adelantos_cc,tasas_interes_badlar,tasas_interes_call,tasas_interes_plazo_fijo_30_59_dias
2021-04-01,36.44149999999999,34.096875,31.551,33.5095
2021-05-01,35.90052631578948,34.11513157894737,32.444736842105264,33.27105263157895
2021-06-01,35.83285714285714,34.11904761904762,31.922380952380948,33.599047619047624
2021-07-01,35.79761904761905,34.13095238095238,31.687142857142856,33.61952380952381
2021-08-01,35.53952380952381,34.157738095238095,30.58904761904762,33.46380952380952
2021-09-01,35.72818181818183,34.15909090909091,31.408636363636365,33.61272727272728
2021-10-01,35.22105263157894,34.141447368421055,31.154210526315783,33.64526315789474
2021-11-01,35.19,34.17559523809524,31.23142857142857,33.440952380952375
2021-12-01,35.3805,34.2,30.729499999999994,33.5175
2022-01-01,35.6647619047619,36.92559523809524,31.598571428571432,36.03190476190476
2022-02-01,35.97368421052632,38.31578947368421,31.257368421052632,37.24473684210525
